"item_code","item_name","brand","category1","category2","total_amount","total_sale","first_sale_date","last_sale_date","min_price","max_price","avg_price"
7432,"HALK BIS.CAI.KAKAO KAPL.MARSH 11 GR*6*","HALK","GIDA","BISKUVI-CEREZ","10","79.20","2019-10-21 21:17:18","2019-10-21 21:17:18","7.92","7.92","7.92"
2869,"FABER KURSUN KALEM 4LU*18","KIRTASIYELER","EV","KITAP-DERGI-KIRTASIYE","9","49.50","2019-01-06 10:55:50","2019-01-06 10:55:50","5.50","5.50","5.50"
2610,"AIR WICK FM KIT+YEDEK BAHAR CIC.BE","AIR WICK","TEMIZLIK","KOKULAR","3","131.70","2019-01-03 21:09:50","2019-01-03 21:09:50","43.90","43.90","43.90"
18210,"NEVACOLOR OKSIDASYON %6","NEUTROGENA","KOZMETIK","SAC BAKIM","3","6.30","2019-12-15 08:57:28","2019-12-15 08:57:28","2.10","2.10","2.10"
14957,"BINGO BANYO+MUTFAK 750 ML *12*","BINGO","DETERJAN","EV TEMIZLEYICILER","1","5628.00","2019-04-05 17:14:14","2019-04-05 17:14:14","5628.00","5628.00","5628.00"
4171,"SILKA RUBY SILGI 20'LI","KIRTASIYELER","EV","KITAP-DERGI-KIRTASIYE","6","2.34","2019-11-16 12:36:00","2019-11-16 12:36:00","0.39","0.39","0.39"
315,"MAROL MERSIN","MAROL","YESILLIK","MALATYA MANAV","5","6.00","2019-03-01 16:17:44","2019-03-01 16:17:44","1.20","1.20","1.20"
16522,"KOLES.TUP BOYA 7/1 KULLU KUMRAL","KOLESTON","KOZMETIK","SAC BAKIM","7","76.30","2019-12-03 15:43:52","2019-12-03 15:43:52","10.90","10.90","10.90"
14382,"ROYAL OCT-041 CAM SEKERLIK","ROYAL","EV","MUTFAK GERECLERI","10","37.80","2019-02-23 16:24:12","2019-02-23 16:24:12","3.78","3.78","3.78"
9028,"PILLI TREN","OYUNCAK","OYUNCAK","ZEKA GELISTIRICI","8","175.20","2019-10-29 18:52:37","2019-10-29 18:52:37","21.90","21.90","21.90"
7278,"OYUNCAK ORTA POLIS SETI","OYUNCAK","OYUNCAK","ZEKA GELISTIRICI","6","176.70","2019-10-24 14:14:59","2019-10-24 14:14:59","29.45","29.45","29.45"
20770,"ABC ULTRA Y. C.SUYU 2 KG BEMBEYAZ *9*","ABC","DETERJAN","CAMASIR YIKAMA","3","26.85","2019-12-09 17:14:14","2019-12-09 17:14:14","8.95","8.95","8.95"
9051,"ALGIDA MARAS SADE 500 ML *6*","ALGIDA","SUT","DONDURMA-SUTLU TATLI","4","56.00","2019-08-22 21:41:26","2019-08-22 21:41:26","14.00","14.00","14.00"
17887,"PORCOZ COK AMACLI SPREY 750 ML","PORCOZ","DETERJAN","EV TEMIZLEYICILER","3","29.70","2019-05-18 16:57:59","2019-05-18 16:57:59","9.90","9.90","9.90"
23476,"YUM TITRESIMLI EL BOMBALI SET","OYUNCAK","OYUNCAK","ZEKA GELISTIRICI","1","16.30","2019-11-11 18:27:52","2019-11-11 18:27:52","16.30","16.30","16.30"
27421,"YUREGIM SANA AIT","KITAPLAR","EV","KITAP-DERGI-KIRTASIYE","3","14.76","2019-01-24 14:29:01","2019-01-24 14:29:01","4.92","4.92","4.92"
24324,"MONOPOL MISHAP","KIRTASIYELER","EV","KITAP-DERGI-KIRTASIYE","6","1872.00","2019-10-31 08:42:29","2019-10-31 08:42:29","312.00","312.00","312.00"
14457,"PALETTE DELUXE 8-01","PALETTE","KOZMETIK","SAC BAKIM","4","69.80","2019-06-28 08:20:46","2019-06-28 08:20:46","17.45","17.45","17.45"
20819,"PINAR SUT 6 LI KIDO KAKAOLU","PINAR","KAHVALTILIK","SUT-YOGURT-PEYNIR","9","71.55","2019-06-18 08:48:16","2019-06-18 08:48:16","7.95","7.95","7.95"
16303,"BIOBLAS SAMP. 360 ML KEPEKLI SACLAR *6*","BIOBLAS","KOZMETIK","DUS-BANYO","5","89.50","2019-10-24 09:56:48","2019-10-24 09:56:48","17.90","17.90","17.90"
27348,"YUMURCAK ANGEL SET","OYUNCAK","OYUNCAK","ZEKA GELISTIRICI","5","29.50","2019-05-26 18:03:57","2019-05-26 18:03:57","5.90","5.90","5.90"
7462,"GOLF SIZIN ICIN VISNE LIMON 750 ML *6*","GOLF","SUT","DONDURMA-SUTLU TATLI","4","31.80","2019-12-12 21:43:45","2019-12-12 21:43:45","7.95","7.95","7.95"
26830,"DOGADAN GEL.K.DENIZ B.POSET 200 GR*6*","DOGADAN","CAY-KAHVE-SEKER","GAZSIZ ICECEK","1","10.20","2019-10-20 15:09:28","2019-10-20 15:09:28","10.20","10.20","10.20"
15332,"OYUNCAK JALE BEBEK","OYUNCAK","OYUNCAK","ZEKA GELISTIRICI","7","201.25","2019-06-19 09:21:56","2019-06-19 09:21:56","28.75","28.75","28.75"
12881,"ORAL B D.FIR.COMPLETE 5 WAY CLEAN *12*","ORAL B","KOZMETIK","AGIZ BAKIM","10","139.00","2019-10-28 18:38:51","2019-10-28 18:38:51","13.90","13.90","13.90"
14279,"SARF TERMAL TERAZI ETIKET YATAY 40X58*150*","SARF","SARF","SARF","10","12.00","2019-02-02 15:42:23","2019-08-28 15:08:47","1.20","1.20","1.20"
20400,"PINAR DONUK MANTI 400 GR KAYSERI","PINAR","GIDA","DONUK URUNLER","9","68.85","2019-03-29 17:28:17","2019-03-29 17:28:17","7.65","7.65","7.65"
15034,"CIFT GOZLU KALEMLIK","KIRTASIYELER","EV","KITAP-DERGI-KIRTASIYE","9","71.91","2019-05-15 16:57:59","2019-05-15 16:57:59","7.99","7.99","7.99"
25969,"FABER FOSFORLU 4 LU OYUN HAMURU","KIRTASIYELER","EV","KITAP-DERGI-KIRTASIYE","6","87.00","2019-06-14 12:36:47","2019-06-14 12:36:47","14.50","14.50","14.50"
20603,"BAGDAT HINDISTAN CEVIZI EKO.160 GR","BAGDAT","GIDA","TUZ-BAHARAT","8","99.20","2019-01-06 11:23:11","2019-01-06 11:23:11","12.40","12.40","12.40"
27652,"UTOMBUL KC.KAMYON","OYUNCAK","OYUNCAK","ZEKA GELISTIRICI","7","8.40","2019-07-07 19:16:19","2019-07-07 19:16:19","1.20","1.20","1.20"
12770,"ELSEVE SAMP. 360 ML CICEK OZU *6*","ELSEVE","KOZMETIK","DUS-BANYO","5","79.50","2019-02-19 08:05:55","2019-11-30 13:16:07","15.90","15.90","15.90"
18879,"HSAKIR GUZ.SAB.280 GR KLS.CICEK-SERENTY *24*","HSAKIR","KOZMETIK","DUS-BANYO","1","8.60","2019-12-15 08:04:47","2019-12-15 08:04:47","8.60","8.60","8.60"
26413,"KIRTA.MONOPOL SULUBOYA 12LI KT","KIRTASIYELER","EV","KITAP-DERGI-KIRTASIYE","2","3.91","2019-02-04 10:33:18","2019-02-04 10:33:18","1.95","1.95","1.95"
4118,"TUTKU KIZ GENIS ASKILI GÖKKUSAGI ATLET 6-XXXL BEYAZ","TUTKU","BEBEK","TEKSTIL-GIYIM-AKSESUAR","9","64.80","2019-05-07 08:46:54","2019-05-07 08:46:54","7.20","7.20","7.20"
19818,"PINAR AYRAN 200 ML PLS.*20*","PINAR","SOGUK ICECEKLER","GUNLUK ICECEK","4","2208.00","2019-04-16 14:23:01","2019-04-16 14:23:01","552.00","552.00","552.00"
26576,"YUMURCAK STRIKERS","OYUNCAK","OYUNCAK","ZEKA GELISTIRICI","1","4.20","2019-03-25 08:21:35","2019-03-25 08:21:35","4.20","4.20","4.20"
24661,"NERGIS POS.PUL BIBER 250 GR.*20*","NERGIS","GIDA","TUZ-BAHARAT","8","30336.00","2019-05-29 16:34:26","2019-05-29 16:34:26","3792.00","3792.00","3792.00"
23378,"KIRTA.FB 96 YP KARELI DEF","KIRTASIYELER","EV","KITAP-DERGI-KIRTASIYE","7","8.40","2019-11-07 11:19:10","2019-11-07 11:19:10","1.20","1.20","1.20"
4230,"PENTI MORENA TAYT 84","PENTI","EV","TEKSTIL-GIYIM-AKSESUAR","5","48.00","2019-01-13 08:30:15","2019-01-13 08:30:15","9.60","9.60","9.60"
7603,"DERBY TIRAS KREMI NORMAL 100 GR","DERBY","KOZMETIK","YUZ BAKIM","7","24.43","2019-12-31 14:21:25","2019-12-31 14:21:25","3.49","3.49","3.49"
378,"OYUNCAK 23X15 KOLLUK","OYUNCAK","OYUNCAK","ZEKA GELISTIRICI","9","5.40","2019-05-18 17:53:12","2019-05-18 17:53:12","0.60","0.60","0.60"
2940,"SUPER F.ALTIN BALIK.300 GR","SUPER FREHS","BALIK","BEYAZ ETLER","10","95280.00","2019-02-09 13:54:15","2019-02-09 13:54:15","9528.00","9528.00","9528.00"
11618,"POSETTE HAYVAN SET","OYUNCAK","OYUNCAK","ZEKA GELISTIRICI","4","52.60","2019-09-18 08:57:28","2019-09-18 08:57:28","13.15","13.15","13.15"
11217,"FATIH OYUN HAMURU KÜÇÜK 4RENK","KIRTASIYELER","EV","KITAP-DERGI-KIRTASIYE","4","23.80","2019-05-18 17:28:17","2019-05-18 17:28:17","5.95","5.95","5.95"
11143,"NESFIT MEYVELI EKO 450 GR *12*","NESTLE","KAHVALTILIK","KAHVALTILIK GEVREK","2","15.00","2019-04-04 14:22:52","2019-04-04 14:22:52","7.50","7.50","7.50"
25270,"SUPER F.PIZZA SIP SAK MINI 360 GR *12*","SUPER FREHS","GIDA","DONUK URUNLER","5","68.00","2019-01-26 17:36:15","2019-01-26 17:36:15","13.60","13.60","13.60"
26547,"HERO BABY 5982-09 OR.MUZ.ARMUT.YUL.120 GR *6*","HERO","BEBEK","HAZIR YEMEK-MAMA","4","19.00","2019-09-12 08:14:55","2019-09-12 08:14:55","4.75","4.75","4.75"
25227,"OYUNCAK KUTUDA SARZLI 3 ASST.SPOR ARABA","OYUNCAK","OYUNCAK","ZEKA GELISTIRICI","9","661.05","2019-07-16 08:40:33","2019-07-16 08:40:33","73.45","73.45","73.45"
25080,"CARS BASKET KCK SET","OYUNCAK","OYUNCAK","ZEKA GELISTIRICI","4","131.96","2019-01-18 08:43:49","2019-01-18 08:43:49","32.99","32.99","32.99"
2960,"CANBEBE TEM.HAVLU SENSITIVE 64 'LU*24*","CANBEBE","KAGIT","ISLAK MENDIL-HAVLULAR","5","12840.00","2019-04-11 21:08:20","2019-04-11 21:08:20","2568.00","2568.00","2568.00"
2496,"OYUNCAK DIKISLI 6001 VOLEYBOL TOPU","OYUNCAK","OYUNCAK","ZEKA GELISTIRICI","10","104.50","2019-05-24 12:36:47","2019-05-24 12:36:47","10.45","10.45","10.45"
15384,"KOLES.SET BOYA 8/0 ACIK KUMRAL","KOLESTON","KOZMETIK","SAC BAKIM","4","99.60","2019-10-11 17:53:12","2019-10-11 17:53:12","24.90","24.90","24.90"
26938,"DEO CALDION STICK BAY 45 GR","CALDION","KOZMETIK","PARFUM-DEODORANT","9","62.10","2019-03-22 19:53:35","2019-03-22 19:53:35","6.90","6.90","6.90"
27364,"PENTI FIT 15 KLT. 500-3","PENTI","EV","TEKSTIL-GIYIM-AKSESUAR","5","49.75","2019-06-23 19:16:19","2019-06-23 19:16:19","9.95","9.95","9.95"
20256,"DURU S.SABUN 750 ML.G. MANGO *9*","DURU","KOZMETIK","DUS-BANYO","2","7632.00","2019-10-24 13:16:07","2019-10-24 13:16:07","3816.00","3816.00","3816.00"
10239,"BAY.SEK.KENT TOFF BOGURTLEN KG.","KENT","SEKERLEME","SAKIZ-SEKERLEME","4","79.80","2019-11-02 18:27:52","2019-11-02 18:27:52","19.95","19.95","19.95"
9747,"OYUNCAK SESLI KILIC","OYUNCAK","OYUNCAK","ZEKA GELISTIRICI","8","19.20","2019-03-09 15:27:43","2019-03-09 15:27:43","2.40","2.40","2.40"
27169,"VARDEM HACI YATMAZ","OYUNCAK","OYUNCAK","ZEKA GELISTIRICI","7","8.40","2019-02-16 20:37:19","2019-02-16 20:37:19","1.20","1.20","1.20"
3122,"CENTROPEN ASETAT KALEM KRM","KIRTASIYELER","EV","KITAP-DERGI-KIRTASIYE","1","1.20","2019-02-12 17:18:34","2019-02-12 17:18:34","1.20","1.20","1.20"
8361,"ELIT SEK.GOZDEM STAR KREM KUTU 246 GR","ELIT","SEKERLEME","CIKOLATA-GOFRET","9","248.40","2019-01-29 20:31:27","2019-01-29 20:31:27","27.60","27.60","27.60"
26665,"IPEK SIVI SAB.500 ML KARADUT*12*","IPEK","KOZMETIK","DUS-BANYO","5","15.00","2019-06-20 13:34:32","2019-06-20 13:34:32","3.00","3.00","3.00"
15559,"DEO ADIDAS ROLL-ON BAYAN FRESH 50ML","ADIDAS","KOZMETIK","PARFUM-DEODORANT","9","35.91","2019-05-31 19:53:35","2019-05-31 19:53:35","3.99","3.99","3.99"
21648,"GEZER P.ARASI KIZ FILET TERLIK","GEZER","EV","TEKSTIL-GIYIM-AKSESUAR","2","16608.00","2019-11-17 08:32:01","2019-11-17 08:32:01","8304.00","8304.00","8304.00"
6062,"ALGIDA MAX ROCKS 90 ML","ALGIDA","SUT","DONDURMA-SUTLU TATLI","4","5.52","2019-07-29 08:22:46","2019-07-29 08:22:46","1.38","1.38","1.38"
25605,"IPEK SAC KREMI BOYALI SACLAR 750 ML","IPEK","KOZMETIK","DUS-BANYO","9","37.80","2019-08-07 08:00:17","2019-08-07 08:00:17","4.20","4.20","4.20"
27895,"CLEAR BOX SAKLAMA KABI 27LT","CLEAR","EV","MUTFAK GERECLERI","1","14136.00","2019-10-23 08:15:48","2019-10-23 08:15:48","14136.00","14136.00","14136.00"
23667,"PENSAN TRIBAL TUKENMEZ KALEM 8 LI","KIRTASIYELER","EV","KITAP-DERGI-KIRTASIYE","1","6.45","2019-11-18 08:49:47","2019-11-18 08:49:47","6.45","6.45","6.45"
23253,"PENTİ SUPER KLT. 500-1","PENTI","EV","TEKSTIL-GIYIM-AKSESUAR","1","4.50","2019-10-19 08:24:31","2019-10-19 08:24:31","4.50","4.50","4.50"
4958,"SESU SIR A. KAVANOZ 200 ML NORMAL TUY 2D","SESU","KOZMETIK","AGDA-TUY DOKUCULER","5","42.00","2019-03-18 16:01:40","2019-03-18 16:01:40","8.40","8.40","8.40"
8387,"NASCITA SIDE SAC FIRCASI 18MM 06-K","NASCITA","KOZMETIK","SAC BAKIM","2","15.00","2019-04-21 16:24:12","2019-04-21 16:24:12","7.50","7.50","7.50"
15700,"KUTAHYA CICEKLI CAY TAKIMI","KUTAHYA","EV","MUTFAK GERECLERI","6","137304.00","2019-05-16 21:08:20","2019-05-16 21:08:20","22884.00","22884.00","22884.00"
23116,"KITAP AVCI SALDIRISI GIZLI DINAZOR","KITAPLAR","EV","KITAP-DERGI-KIRTASIYE","6","41.40","2019-12-08 18:27:52","2019-12-08 18:27:52","6.90","6.90","6.90"
24905,"ATASOZLERI DEYIMLER","KITAPLAR","EV","KITAP-DERGI-KIRTASIYE","6","28.50","2019-09-16 13:13:49","2019-09-16 13:13:49","4.75","4.75","4.75"
22454,"TAMEK RECEL 380 GR AYVA *12*","TAMEK","KAHVALTILIK","BAL-RECEL","5","15720.00","2019-02-19 13:13:49","2019-02-19 13:13:49","3144.00","3144.00","3144.00"
20571,"TUTKU BAYAN THERMAL ALT XL SIYAH","TUTKU","EV","TEKSTIL-GIYIM-AKSESUAR","9","197.55","2019-01-14 13:13:49","2019-01-14 13:13:49","21.95","21.95","21.95"
8065,"GOLF LUNGO CILEK-VANILYA 105 ML*28*","GOLF","SUT","DONDURMA-SUTLU TATLI","3","6.00","2019-10-09 08:17:07","2019-10-09 08:17:07","2.00","2.00","2.00"
26658,"PIKNIK 264-P YUVARLAK KASE","PIKNIK","EV","MUTFAK GERECLERI","4","12288.00","2019-05-20 08:55:15","2019-05-20 08:55:15","3072.00","3072.00","3072.00"
3864,"ALGIDA MAX LIMON 54 ML *36*","ALGIDA","SUT","DONDURMA-SUTLU TATLI","1","0.75","2019-06-24 08:24:21","2019-06-24 08:24:21","0.75","0.75","0.75"
23786,"GEZER KIZ BABET FILET 7665.00","GEZER","EV","TEKSTIL-GIYIM-AKSESUAR","2","30.90","2019-08-31 21:43:45","2019-08-31 21:43:45","15.45","15.45","15.45"
18024,"ULKER 986-9 C.CROWN 3IN1 SADE 13 GR*320*","ULKER","SICAK ICECEKLER","GUNLUK ICECEK","8","6.00","2019-01-04 08:39:45","2019-01-04 08:39:45","0.75","0.75","0.75"
18474,"OYUNCAK KUT.NESE GELINLIKLI BEBEK","OYUNCAK","OYUNCAK","ZEKA GELISTIRICI","8","9.60","2019-02-09 08:05:55","2019-02-09 08:05:55","1.20","1.20","1.20"
3145,"DURU SAC KREMI 550 ML TUM SAC.*12*","DURU","KOZMETIK","DUS-BANYO","3","22.35","2019-10-15 21:08:20","2019-10-15 21:08:20","7.45","7.45","7.45"
6071,"KNORR ACISSO 50 ML *24*","KNORR","GIDA","HAZIR YEMEK-KONSERVE-SALCA","5","59.50","2019-10-28 21:09:50","2019-10-28 21:09:50","11.90","11.90","11.90"
15288,"MILAN 6020 SILGI","KIRTASIYELER","EV","KITAP-DERGI-KIRTASIYE","5","4860.00","2019-03-08 08:39:45","2019-03-08 08:39:45","972.00","972.00","972.00"
4,"PIL KODAK XTRA HEAVY 9 V","KODAK","EV","ELEKTRIK-ELEKTRONIK","3","15.12","2019-10-04 12:26:50","2019-10-04 12:26:50","5.04","5.04","5.04"
15424,"PENTI BAYAN THERMAL TAYT 500-4","PENTI","EV","TEKSTIL-GIYIM-AKSESUAR","4","75.00","2019-12-17 17:18:34","2019-12-17 17:18:34","18.75","18.75","18.75"
9960,"OYUNCAK KUTULU KUVETLI ET BEBEK","OYUNCAK","OYUNCAK","ZEKA GELISTIRICI","9","334.35","2019-03-03 08:54:31","2019-03-03 08:54:31","37.15","37.15","37.15"
20300,"HALK BIS.KREMALI 140 GR KAKAOLU *12*","HALK","GIDA","BISKUVI-CEREZ","10","9840.00","2019-02-01 08:14:55","2019-02-01 08:14:55","984.00","984.00","984.00"
15752,"TUTKU ERKEK BAXER","TUTKU","EV","TEKSTIL-GIYIM-AKSESUAR","3","9.00","2019-05-16 12:15:31","2019-05-16 12:15:31","3.00","3.00","3.00"
2763,"EMOTION EDT+DEO KOFRE AQUA KISS*6*","EMOTION","KOZMETIK","PARFUM-DEODORANT","10","549.90","2019-11-23 08:00:17","2019-11-23 08:00:17","54.99","54.99","54.99"
24680,"BERRAK 2011 BAYAN ATLET M","BERRAK","EV","TEKSTIL-GIYIM-AKSESUAR","2","7872.00","2019-01-10 19:07:52","2019-01-10 19:07:52","3936.00","3936.00","3936.00"
24343,"ALGIDA CORNETTO IN LOVE CHOCOBERRY","ALGIDA","SUT","DONDURMA-SUTLU TATLI","1","4.00","2019-12-21 08:17:50","2019-12-21 08:17:50","4.00","4.00","4.00"
1422,"JUDY MOODY UNIVERSITEYE GIDIYOR","KITAPLAR","EV","KITAP-DERGI-KIRTASIYE","7","27.30","2019-09-01 08:31:26","2019-09-01 08:31:26","3.90","3.90","3.90"
11739,"BAY.SEK.ELIT FIGARO KG","ELIT","SEKERLEME","SAKIZ-SEKERLEME","6","491.40","2019-12-07 13:16:07","2019-12-07 13:16:07","81.90","81.90","81.90"
20662,"MAR.BIRLIK Z.YAGI RIVIERA 1 LT.PET*12*","MARMARA BIRLIK","GIDA","SIVI YAG","10","264.50","2019-08-12 16:08:00","2019-08-12 16:08:00","26.45","26.45","26.45"
5248,"DR.OETKER CIK.SOS 125 GR.BITTER *24*","DROETKER","GIDA","UNLU MAMUL-TATLI","2","7.30","2019-04-23 08:40:37","2019-04-23 08:40:37","3.65","3.65","3.65"
8560,"A5 P.P. KAPAK 100 YP DEFTER","KIRTASIYELER","EV","KITAP-DERGI-KIRTASIYE","5","22020.00","2019-11-04 12:23:39","2019-11-04 12:23:39","4404.00","4404.00","4404.00"
18883,"KENT CARAMELA SUTLU BITTER 210 GR*12*","KENT","SEKERLEME","CIKOLATA-GOFRET","2","7.92","2019-09-18 16:57:16","2019-09-18 16:57:16","3.96","3.96","3.96"
13083,"MILKA JOY SUTLU 60 GR *20*","MILKA","SEKERLEME","CIKOLATA-GOFRET","7","10.08","2019-09-21 13:34:29","2019-09-21 13:34:29","1.44","1.44","1.44"
20617,"CEREZOS AILE .3 LU SET 66 GR *20*","PATOS","GIDA","BISKUVI-CEREZ","2","5.00","2019-03-04 08:57:10","2019-03-04 08:57:10","2.50","2.50","2.50"
4279,"OMO MATIK 6000 GR DMST.ET.NTR.*1*","OMO","DETERJAN","CAMASIR YIKAMA","10","303480.00","2019-02-07 08:14:55","2019-02-07 08:14:55","30348.00","30348.00","30348.00"
18013,"ULKER 1873-08 ALBENI 5 LI 180 GR *24*","ULKER","SEKERLEME","CIKOLATA-GOFRET","4","21.00","2019-02-06 17:10:49","2019-02-06 17:10:49","5.25","5.25","5.25"
10590,"KEPCELI TRAKTOR","OYUNCAK","OYUNCAK","ZEKA GELISTIRICI","7","53.20","2019-06-25 16:08:00","2019-06-25 16:08:00","7.60","7.60","7.60"
20157,"ORUCOGLU ANTIKYA Z.YAGI RIV.5 LT TNK *4*","ORUCOGLU","GIDA","SIVI YAG","5","156.00","2019-04-27 08:44:31","2019-04-27 08:44:31","31.20","31.20","31.20"
5209,"WINKS VERSATIL KALEM TRAS","KIRTASIYELER","EV","KITAP-DERGI-KIRTASIYE","9","10.80","2019-11-06 08:12:37","2019-11-06 08:12:37","1.20","1.20","1.20"
637,"GEMLIK SELE ZEYTIN XL (201-230) KG.*10*","MARMARA BIRLIK","KAHVALTILIK","YUMURTA-ZEYTIN","4","127.80","2019-09-27 13:10:13","2019-09-27 13:10:13","31.95","31.95","31.95"
623,"BAY.SEK.SOLEN MAX BAR KG","SOLEN","SEKERLEME","SAKIZ-SEKERLEME","10","339.00","2019-03-17 17:53:12","2019-03-17 17:53:12","33.90","33.90","33.90"
42,"DOMATES KOKTEYL SEKER PAKET","DOMATES","SEBZE","MALATYA MANAV","4","4.80","2019-07-12 10:44:55","2019-07-12 10:44:55","1.20","1.20","1.20"
6663,"TUKAS KETCAP 700 GR ACILI *12*","TUKAS","GIDA","HAZIR YEMEK-KONSERVE-SALCA","4","21.80","2019-06-05 10:20:40","2019-06-05 10:20:40","5.45","5.45","5.45"
15668,"FA ROLL-ON 50 ML FRESH PULSE (MEN)","FA","KOZMETIK","PARFUM-DEODORANT","6","77.40","2019-07-19 08:54:31","2019-07-19 08:54:31","12.90","12.90","12.90"
24770,"SHERLOCK HOLMES KIZIL OLUM","KITAPLAR","EV","KITAP-DERGI-KIRTASIYE","5","28.80","2019-04-05 13:34:32","2019-04-05 13:34:32","5.76","5.76","5.76"
12330,"OYUNCAK KULAHLI DANCE & PARTY BEBEKLER","OYUNCAK","OYUNCAK","ZEKA GELISTIRICI","9","217.35","2019-08-26 08:49:47","2019-08-26 08:49:47","24.15","24.15","24.15"
22399,"PIKNIK 1529 BUZDOLABI POS.ORT. 3+1 *24*","PIKNIK","EV","MUTFAK GERECLERI","10","68.50","2019-08-13 18:52:37","2019-08-13 18:52:37","6.85","6.85","6.85"
16027,"OYUNCAK KT.FONK. AKS. IDIL BEBEK","OYUNCAK","OYUNCAK","ZEKA GELISTIRICI","2","43.90","2019-10-12 08:46:41","2019-10-12 08:46:41","21.95","21.95","21.95"
9941,"PRT.GONDOL G-90102 KEK KAPSULU PVC KUCUK","GONDOL","EV","MUTFAK GERECLERI","8","9.60","2019-12-01 16:17:44","2019-12-01 16:17:44","1.20","1.20","1.20"
8946,"YALANLAR REHBERI","KITAPLAR","EV","KITAP-DERGI-KIRTASIYE","1","3336.00","2019-12-07 14:49:06","2019-12-07 14:49:06","3336.00","3336.00","3336.00"
12546,"TUTKU ERKEK BAXER LIKRALI","TUTKU","EV","TEKSTIL-GIYIM-AKSESUAR","6","27576.00","2019-06-09 16:01:40","2019-06-09 16:01:40","4596.00","4596.00","4596.00"
2322,"DEO NIVEA 150 ML.MEN INVISIBLE B&W","NIVEA","KOZMETIK","PARFUM-DEODORANT","3","41.70","2019-08-21 08:48:16","2019-08-21 08:48:16","13.90","13.90","13.90"
8949,"YASIN KITABI BILGISAYAR HATLI","KITAPLAR","EV","KITAP-DERGI-KIRTASIYE","7","23352.00","2019-03-26 08:15:04","2019-03-26 08:15:04","3336.00","3336.00","3336.00"
